tt0000009	movie	Miss Jerry	Miss Jerry	0	1894	\N	45	Romance
tt0000147	movie	The Corbett-Fitzsimmons Fight	The Corbett-Fitzsimmons Fight	0	1897	\N	20	Documentary,News,Sport
tt0000679	movie	The Fairylogue and Radio-Plays	The Fairylogue and Radio-Plays	0	1908	\N	120	Adventure,Fantasy
tt0001101	movie	Abraham Lincoln's Clemency	Abraham Lincoln's Clemency	0	1910	\N	\N	\N
tt0001159	movie	The Connecticut Yankee	The Connecticut Yankee	0	1910	\N	\N	\N
tt0001186	movie	Dorothy and the Scarecrow in Oz	Dorothy and the Scarecrow in Oz	0	1910	\N	\N	\N
tt0001230	movie	Gentleman Joe	Gentleman Joe	0	1910	\N	\N	\N
tt0001285	movie	The Life of Moses	The Life of Moses	0	1909	\N	\N	Biography,Drama,Family
tt0001422	movie	Trail to the West	Trail to the West	0	1910	\N	\N	\N
tt0001482	movie	As in a Looking Glass	As in a Looking Glass	0	1911	\N	\N	Drama
tt0001498	movie	The Battle of Trafalgar	The Battle of Trafalgar	0	1911	\N	51	War
tt0001515	movie	The Brand	The Brand	0	1911	\N	\N	\N
tt0001569	movie	The Daddy's Dream	The Daddy's Dream	0	1911	\N	\N	\N
tt0001586	movie	A Dog's Tale	A Dog's Tale	0	1911	\N	\N	\N
tt0001628	movie	The Four Poster Pest	The Four Poster Pest	0	1911	\N	\N	\N
tt0001706	movie	The Infant at Snakeville	The Infant at Snakeville	0	1911	\N	\N	\N
tt0001998	movie	The Adventures of Lieutenant Petrosino	The Adventures of Lieutenant Petrosino	0	1912	\N	\N	Drama
tt0002001	movie	The Alaska-Siberian Expedition	The Alaska-Siberian Expedition	0	1912	\N	\N	Documentary
tt0002031	movie	As You Like It	As You Like It	0	1912	\N	\N	\N
tt0002039	movie	Atop of the World in Motion	Atop of the World in Motion	0	1912	\N	\N	Documentary
tt0002101	movie	Cleopatra	Cleopatra	0	1912	\N	100	Drama,History
tt0002102	movie	The Clod	The Clod	0	1912	\N	\N	\N
tt0002109	movie	The Colonel's Son	The Colonel's Son	0	1912	\N	\N	\N
tt0002188	movie	For Freedom of Cuba	For Freedom of Cuba	0	1912	\N	\N	\N
tt0002199	movie	From the Manger to the Cross; or, Jesus of Nazareth	From the Manger to the Cross; or, Jesus of Nazareth	0	1912	\N	60	Biography,Drama
tt0002220	movie	Grannie	Grannie	0	1912	\N	\N	\N
tt0002239	movie	Her Own Money	Her Own Money	0	1914	\N	\N	\N
